Random;ItemAVG;MMMF;WMF;HPF;IBPR;WBPR;SKM;NEUMF;VAECF
-83.289058797614;-93.810232256932;185.658682976344;55.2738824139677;648.693494635344;20.5720903683215;283.725523059237;841.390272627993;652.32729332904;415.153870070081
-90.0762406724514;-96.289830951037;159.127690356146;167.859024925313;360.139463951077;-26.6080010687804;291.175658724349;442.028821871838;438.003635165575;334.454185266498
0;0;0;0;0;0;0;0;0;0
-90.5830220298235;-96.4343116843945;169.038219085201;125.013937497076;302.976444957999;-37.4069239303644;316.541426037727;407.229225028531;425.8176190248;338.127415566499
-89.5073597257953;-96.0847496850549;156.779802888779;169.444145020152;390.770751624679;-20.9908342669335;282.127791745048;478.562711969659;454.854285111172;337.477758440085
-89.3810479118023;-96.0697045791087;173.327299399419;160.106106517038;398.331215470592;-21.8983971168956;307.707302551712;472.29416186467;462.05893360201;352.392023371037
0;0;0;0;0;0;0;0;0;0
-90.8073158911282;-96.5286105547079;161.916373699521;121.142627198006;279.279633618703;-40.5020387728457;313.724892929123;393.375199924059;413.573155376582;330.18390016937
-89.482225427393;-96.0755114624737;159.115696893053;168.51200042795;392.748845139946;-20.9343941030203;284.975848096977;479.021763488712;456.816575154024;339.479294488311
-89.5788397951856;-96.1107135202113;171.721683539168;155.646595921131;387.184494589635;-23.6896782924314;306.170243425197;465.134837205648;457.155970567711;351.166454310063
0;0;0;0;0;0;0;0;0;0
-90.8011659972008;-96.5373688863027;180.157647208228;107.378836101126;285.098641527231;-43.0696108742744;334.302537522206;381.820859194245;416.550215992754;356.129175658263
-89.5588732109049;-96.1076566109738;155.848076314591;171.105921617404;388.425355659501;-20.8502910983365;281.465971930051;475.518586320748;452.682173521366;333.185782596471
-88.5140621707355;-95.6788309513819;165.393710781557;177.379607629343;456.147517069726;-12.3731745522615;287.604640585409;543.899250518309;500.015396864578;358.625756543251
0;0;0;0;0;0;0;0;0;0
-88.982183776777;-95.8369419350832;162.155753902796;178.961072243362;424.747313030901;-17.3942379041674;282.839660059974;517.980729711472;481.589716203988;347.261371097188
-89.4620641002291;-96.0713677147045;156.32070621023;172.283110222797;393.842449229671;-20.2279499888083;282.992221062777;481.882639277945;457.255653695096;334.435043831627
-91.0672113130194;-96.6519034808016;184.579955047183;91.2580122167306;267.019459881311;-45.8117708669278;337.946444806284;357.061199190906;403.034800193317;362.676632225358
0;0;0;0;0;0;0;0;0;0
-90.7685288904819;-96.5538684703516;182.124082854061;102.980031527459;279.076020887803;-43.9658987108427;337.003604068023;376.808416285528;415.384242101495;358.689924094077
-89.5287841257727;-96.1003832791311;155.887061485479;170.626260724138;389.83464181409;-20.6372730629704;281.687994945256;476.752588911859;453.463937030611;333.750630573006
-88.8859388760712;-95.7453216193883;168.387283234875;178.153435227068;442.221447347565;-15.9413144793273;293.916414870937;531.071503756506;494.343517649566;358.04501731514
