Aug;Mul;xQuad
-30.9463429759155;-60.2083331272999;-37.0051451459668
-20.6272877043312;-58.2816763889045;-25.8101866456456
NaN;NaN;NaN
-16.7501523881698;-56.9903132047881;-21.4588034202686
-22.7726488508469;-59.2694343279444;-27.9459389709727
-19.588303326803;-55.6061382204408;-25.8097017800048
NaN;NaN;NaN
-15.9765162979099;-57.5940354634182;-20.7526050234851
-22.5165114377584;-58.902939312343;-27.7548068957346
-19.775419937733;-56.2056765681263;-25.5453747120228
NaN;NaN;NaN
-13.0510278546199;-53.8541097874949;-17.3611140723757
-22.9699686779779;-59.4922527668427;-28.3349540310904
-24.5194773655794;-58.7241917178989;-30.5844853919448
NaN;NaN;NaN
-24.4832108377156;-59.3561498562674;-30.1552789904326
-23.3102029032828;-59.7018389799388;-28.7708124514658
-10.3568987711779;-51.6398520720582;-14.3210024755163
NaN;NaN;NaN
-12.3102204359683;-53.1909320840246;-16.4533443357379
-22.9839991889656;-59.5106569868687;-28.3716984271281
-23.9945514350414;-58.540313095323;-29.9436549978584
